customer_id,final_pd,top_driver,intervention_type,intervention_detail,rupee_impact,urgency,risk_band,case_summary
230821,0.3022318007662835,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,RED,"This customer is flagged as RED risk with a 30% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Additional signal: Payment dates have become increasingly erratic, suggesting reactive rather than planned cash management. Recommended action: 30-day payment holiday to restore financial breathing room."
291146,0.0542356929095066,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,YELLOW,"This customer is flagged as YELLOW risk with a 5% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Additional signal: Savings balance has declined significantly over the last 60 days, leaving very little financial buffer. Recommended action: Shift EMI due date to align with actual income arrival pattern."
293461,0.8929069767441861,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 89% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
398877,0.1378707680015979,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,YELLOW,"This customer is flagged as YELLOW risk with a 14% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
282326,0.0622981771624671,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,YELLOW,"This customer is flagged as YELLOW risk with a 6% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: 30-day payment holiday to restore financial breathing room."
415988,1.0,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 100% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
235776,0.43001443001443,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 43% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Additional signal: Savings balance has declined significantly over the last 60 days, leaving very little financial buffer. Recommended action: Shift EMI due date to align with actual income arrival pattern."
363982,0.0622981771624671,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,YELLOW,"This customer is flagged as YELLOW risk with a 6% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Savings balance has declined significantly over the last 60 days, leaving very little financial buffer. Recommended action: Shift EMI due date to align with actual income arrival pattern."
196519,0.7671957671957671,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 77% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
426129,0.3022318007662835,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 30% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
